,gain
radiation flux,0.996912280274853
v-component of wind,0.0004168223190765971
temperature,0.00039831363290922494
u-component of wind,0.00038832331556694447
pressure,0.0003866526418252698
relative humidity,0.0003578498730003457
yearCos,0.0003318781528184203
yearSin,0.0003201913750145499
hourSin,0.00018775224776610927
hourCos,0.00016307558602786563
monthCos,6.894973069729059e-05
monthSin,6.6180650510828e-05
total precipitation,1.7301999336016005e-06
