,year,month,day,hour,hourSin,hourCos,upper,lower,PVout,radiation flux,temperature,total precipitation,u-component of wind,v-component of wind,pressure,relative humidity
7,2023,6,28,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,26.108331298828148,0.0,0.1351308822631836,3.2992639541625977,1004.5687866210938,82.81497573852539
8,2023,6,28,20.5,-0.7933533402912357,0.6087614290087199,0.0,0.0,0.0,0.0,25.91120300292971,0.0,0.4291577339172363,3.0184202194213867,1004.5318908691406,83.30290794372559
9,2023,6,28,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,0.0,25.714074707031276,0.0,0.7231845855712891,2.737576484680176,1004.4949951171876,83.79084014892578
10,2023,6,28,21.5,-0.608761429008721,0.7933533402912349,0.0,0.0,0.0,0.0,25.51947937011721,0.0,0.9696869850158693,3.0209336280822754,1004.3352966308594,84.45046806335449
11,2023,6,28,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,25.324884033203148,0.0,1.2161893844604492,3.304290771484375,1004.1755981445312,85.1100959777832
12,2023,6,28,22.5,-0.38268343236508956,0.9238795325112868,0.0,0.0,0.0,0.0,25.148522949218773,0.0,1.3852834701538086,2.962653160095215,1004.149383544922,85.65644264221191
13,2023,6,28,23.0,-0.25881904510252157,0.9659258262890681,0.0,0.0,0.0,0.0,24.9721618652344,0.0,1.554377555847168,2.6210155487060547,1004.1231689453124,86.20278930664062
14,2023,6,28,23.5,-0.13052619222005168,0.9914448613738104,0.0,0.0,0.0,0.0,24.83765563964846,0.0,1.6201043128967283,2.289867877960205,1004.104736328125,86.76399612426758
15,2023,6,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.703149414062523,0.0,1.685831069946289,1.9587202072143557,1004.0863037109376,87.32520294189453
16,2023,6,29,0.5,0.13052619222005157,0.9914448613738104,0.0,0.0,0.0,0.0,24.589944458007835,0.015625,1.4231886863708496,1.309858798980713,1003.932647705078,87.85425186157227
17,2023,6,29,1.0,0.25881904510252074,0.9659258262890683,0.0,0.0,0.0,0.0,24.476739501953148,0.03125,1.1605463027954102,0.6609973907470703,1003.7789916992188,88.38330078125
18,2023,6,29,1.5,0.3826834323650898,0.9238795325112867,0.0,0.0,0.0,0.0,24.304406738281276,0.015625,0.6826901435852051,0.4340648651123047,1003.7059631347656,90.8864974975586
19,2023,6,29,2.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,24.1320739746094,0.0,0.204833984375,0.207132339477539,1003.6329345703124,93.3896942138672
20,2023,6,29,2.5,0.6087614290087207,0.7933533402912352,0.0,0.0,0.0,0.0,24.043908691406276,0.0,0.2582721710205078,0.520756721496582,1003.6514892578124,92.76708984375
21,2023,6,29,3.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,23.955743408203148,0.0,0.3117103576660156,0.834381103515625,1003.6700439453124,92.1444854736328
22,2023,6,29,3.5,0.7933533402912352,0.6087614290087207,0.0,0.0,0.0,0.0,23.791055297851585,0.0,0.4673600196838379,0.9161419868469238,1003.756591796875,93.00594329833984
23,2023,6,29,4.0,0.8660254037844386,0.5000000000000001,0.23229218,0.0,0.11614609,0.0,23.626367187500023,0.0,0.6230096817016602,0.9979028701782228,1003.8431396484376,93.86740112304688
24,2023,6,29,4.5,0.9238795325112867,0.38268343236508984,0.23305774,0.0,0.11652887,2.921875,23.509683227539085,0.0,0.6145405769348145,1.072892189025879,1004.0340270996094,94.55914115905762
25,2023,6,29,5.0,0.9659258262890683,0.25881904510252074,0.23612285,0.0,0.11806142,5.84375,23.392999267578148,0.0,0.6060714721679688,1.1478815078735352,1004.2249145507812,95.25088119506836
26,2023,6,29,5.5,0.9914448613738104,0.1305261922200517,0.4816575,0.0,0.24082875,38.046875,23.50202331542971,0.0,0.7851834297180176,1.035390853881836,1004.383819580078,94.5630874633789
27,2023,6,29,6.0,1.0,6.123233995736766e-17,0.7031591,0.0,0.35157955,70.25,23.611047363281276,0.0,0.9642953872680664,0.9229001998901368,1004.542724609375,93.87529373168944
28,2023,6,29,6.5,0.9914448613738104,-0.1305261922200516,1.0820446,0.0,0.5410223,143.13545888662338,24.12549743652346,0.0,0.953361988067627,0.7472639083862305,1004.571319580078,91.46190452575684
29,2023,6,29,7.0,0.9659258262890683,-0.25881904510252063,1.3910424,0.0,0.6955212,216.0209177732468,24.639947509765648,0.0,0.9424285888671876,0.5716276168823242,1004.5999145507812,89.04851531982422
30,2023,6,29,7.5,0.9238795325112868,-0.3826834323650895,1.5577615,0.0,0.7788808,295.38925701379776,25.414102172851585,0.0,0.7871646881103516,0.6842789649963379,1004.5628967285156,85.14228439331055
31,2023,6,29,8.0,0.8660254037844387,-0.4999999999999998,1.750097,0.0,0.8750485,374.7575962543488,26.188256835937523,0.0,0.6319007873535156,0.7969303131103516,1004.52587890625,81.23605346679688
32,2023,6,29,8.5,0.7933533402912352,-0.6087614290087207,1.8402362,0.18830729,1.0142717,458.2886644601822,27.162393188476585,0.0,0.7346019744873047,1.1287727355957031,1004.3101196289062,75.0694637298584
33,2023,6,29,9.0,0.7071067811865476,-0.7071067811865475,1.8531375,0.5278683,1.1905029,541.8197326660156,28.136529541015648,0.0,0.8373031616210938,1.460615158081055,1004.0943603515624,68.90287399291992
34,2023,6,29,9.5,0.6087614290087209,-0.793353340291235,1.8912972,0.72653127,1.3089142,601.8023910522461,28.992242431640648,0.0,0.7919902801513672,1.546839714050293,1003.793212890625,63.93593978881836
35,2023,6,29,10.0,0.49999999999999994,-0.8660254037844387,1.9192711,0.9279549,1.4236131,661.7850494384766,29.847955322265648,0.0,0.7466773986816406,1.6330642700195312,1003.4920654296876,58.9690055847168
36,2023,6,29,10.5,0.3826834323650899,-0.9238795325112867,1.8464202,1.1545086,1.5004644,720.4834890365601,30.605996704101585,0.0,0.7097430229187012,2.0679426193237305,1003.12255859375,56.36455535888672
37,2023,6,29,11.0,0.258819045102521,-0.9659258262890682,1.7342006,1.3898325,1.5620165,779.1819286346436,31.364038085937523,0.0,0.6728086471557617,2.5028209686279297,1002.7530517578124,53.76010513305664
38,2023,6,29,11.5,0.130526192220052,-0.9914448613738104,1.6987832,1.5537262,1.6262547,815.8183727264404,31.736535644531276,0.0,0.7407350540161133,2.70355224609375,1002.4725036621094,53.282352447509766
39,2023,6,29,12.0,1.2246467991473532e-16,-1.0,1.6650906,1.7170348,1.6910627,852.4548168182373,32.10903320312502,0.0,0.8086614608764648,2.9042835235595703,1002.1919555664062,52.80459976196289
40,2023,6,29,12.5,-0.13052619222005177,-0.9914448613738104,1.5890757,1.7300682,1.6595719,849.997236251831,32.27266845703127,0.0,0.7873482704162598,3.0875535011291504,1001.917999267578,52.74584102630615
