cpu_info,memory_info,size,elapsed_time
8,8,100,0.0
8,8,200,0.0010237693786621
8,8,300,0.0058977603912353
8,8,400,0.003974437713623
8,8,500,0.0078487396240234
8,8,600,0.0127148628234863
8,8,700,0.0127451419830322
8,8,800,0.0243942737579345
8,8,900,0.022423505783081
8,8,1000,0.0332214832305908
8,8,1100,0.0342011451721191
8,8,1200,0.0468957424163818
8,8,1300,0.0595664978027343
8,8,1400,0.0732605457305908
8,8,1500,0.0752108097076416
8,8,1600,0.088869571685791
8,8,1700,0.0908267498016357
8,8,1800,0.0928068161010742
8,8,1900,0.0976336002349853
8,8,2000,0.1059703826904296
8,8,2100,0.1151928901672363
8,8,2200,0.1327683925628662
8,8,2300,0.1308100223541259
8,8,2400,0.152320384979248
8,8,2500,0.1665146350860595
8,8,2600,0.2031168937683105
8,8,2700,0.232370376586914
8,8,2800,0.2460501194000244
8,8,2900,0.2802906036376953
8,8,3000,0.2934143543243408
8,8,3100,0.340801477432251
8,8,3200,0.3407983779907226
8,8,3300,0.3856894969940185
8,8,3400,0.4159865379333496
8,8,3500,0.4784350395202636
8,8,3600,0.4765188694000244
8,8,3700,0.5331177711486816
8,8,3800,0.556567907333374
8,8,3900,0.5956106185913086
8,8,4000,0.6239547729492188
8,8,4100,0.6816093921661377
8,8,4200,0.7528817653656006
8,8,4300,0.7958242893218994
8,8,4400,0.8475611209869385
8,8,4500,0.9618663787841796
8,8,4600,1.0472829341888428
8,8,4700,1.0375220775604248
8,8,4800,1.0487513542175293
8,8,4900,1.2044930458068848
8,8,5000,1.160038709640503
8,8,5100,1.3602120876312256
8,8,5200,1.3113861083984375
8,8,5300,1.5433106422424316
8,8,5400,1.4051992893218994
8,8,5500,1.6190104484558103
8,8,5600,1.6600065231323242
8,8,5700,1.849989414215088
8,8,5800,1.7674264907836914
8,8,5900,1.995433330535889
8,8,6000,1.9998383522033687
8,8,6100,2.1668550968170166
8,8,6200,2.178014039993286
8,8,6300,2.42995023727417
8,8,6400,2.3191347122192383
8,8,6500,2.558382272720337
8,8,6600,2.590107679367065
8,8,6700,2.861597776412964
8,8,6800,2.7683265209198
8,8,6900,3.102259874343872
8,8,7000,3.0768871307373047
8,8,7100,3.3552322387695312
8,8,7200,3.296612024307251
8,8,7300,3.6311092376708975
8,8,7400,3.600282430648804
8,8,7500,3.950818777084351
8,8,7600,3.978675127029419
8,8,7700,4.306321620941162
8,8,7800,4.247211456298828
