cpu_info,memory_info,size,elapsed_time
4,2,2000,0.34629249572753906
4,2,3000,1.167288064956665
4,2,4000,3.772733449935913
4,2,5000,6.141411781311035
4,2,6000,10.535638093948364
4,2,7000,28.17166018486023
4,2,8000,48.0879487991333
1,2,1000,0.11665821075439453
1,2,2000,3.0515639781951904
1,2,3000,10.223676681518555
1,2,4000,25.187641143798828
1,2,5000,49.6996533870697
1,2,6000,76.70936918258667
1,2,7000,113.93455743789673
1,2,8000,186.09592652320862
2,2,1000,0.06045269966125488
2,2,2000,1.5299122333526611
2,2,3000,5.69394326210022
2,2,4000,13.306951761245728
2,2,5000,23.022315979003906
2,2,6000,39.996582984924316
2,2,7000,66.82884430885315
2,2,8000,100.27388000488281
3,2,1000,0.022455930709838867
3,2,2000,0.762946367263794
3,2,3000,3.5775928497314453
3,2,4000,8.452228784561157
3,2,5000,14.528210639953613
3,2,6000,24.17094588279724
3,2,7000,40.21516180038452
3,2,8000,64.579416513443
4,2.5,1000,0.023871183395385742
4,2.5,2000,0.4489419460296631
4,2.5,3000,2.3813586235046387
4,2.5,4000,5.710874319076538
4,2.5,5000,10.186902284622192
4,2.5,6000,17.38735842704773
4,2.5,7000,29.38679814338684
4,2.5,8000,46.367133140563965
4,1.3,1000,0.08466053009033203
4,1.3,2000,0.48519301414489746
4,1.3,3000,2.2144134044647217
4,1.3,4000,4.747429370880127
4,1.3,5000,9.586580753326416
4,1.3,6000,17.230072736740112
4,1.3,7000,31.43242645263672
