number_of_data,real_execution_time
100,3.8429644107818604
200,3.9177112579345703
300,4.459170579910278
400,4.902955055236816
500,5.929275989532471
600,6.387271404266357
700,6.644062042236328
800,6.634771347045898
900,7.618640899658203
1000,8.532107591629028
1100,9.811834335327148
1200,10.777080059051514
1300,10.771686315536499
1400,10.86159896850586
1500,11.40518832206726
1600,11.573772430419922
1700,12.8185715675354
1800,13.819979429244995
1900,14.905328035354614
2000,14.669145107269287
2100,14.884464502334595
2200,15.237691879272461
2300,16.991689920425415
2400,16.51063561439514
2500,17.75659418106079
2600,18.304397583007812
2700,18.865397453308105
2800,19.5186984539032
2900,20.077688932418823
3000,20.604510068893433
3100,20.725126266479492
3200,20.704134941101074
3300,25.364933729171753
3400,26.17935276031494
3500,24.56177258491516
3600,25.050506353378296
3700,25.717949390411377
3800,25.517759799957275
3900,26.051895141601562
4000,26.079241514205933
4100,27.343307733535767
4200,27.810592889785767
4300,28.395986080169678
4400,30.867997407913208
4500,31.12336230278015
4600,31.078391790390015
4700,31.379656076431274
4800,31.072065353393555
4900,32.35077524185181
5000,33.47471880912781
5100,33.11981153488159
5200,33.8077187538147
5300,34.49201464653015
5400,37.798190116882324
5500,36.836034536361694
5600,36.02811312675476
5700,38.60777187347412
5800,38.53007960319519
5900,38.377257347106934
6000,38.62577843666077
6100,39.63011908531189
6200,40.24775457382202
6300,41.030904054641724
6400,41.96594262123108
6500,43.38531160354614
6600,43.47707509994507
6700,43.855982303619385
6800,44.34176230430603
6900,44.95552945137024
7000,46.40803790092468
7100,46.44569540023804
7200,45.58681130409241
7300,47.23079586029053
7400,49.64861011505127
7500,50.315539598464966
7600,51.146074533462524
7700,50.338037967681885
7800,50.965893507003784
7900,51.48444890975952
8000,50.16664981842041
8100,51.542548418045044
8200,52.690423011779785
8300,53.55221366882324
8400,57.55442690849304
8500,57.270729303359985
8600,57.6813530921936
8700,57.392319202423096
8800,55.937344789505005
8900,58.01244139671326
9000,58.2570436000824
9100,57.73151183128357
9200,59.13704538345337
9300,58.7676796913147
9400,64.44107365608215
9500,64.47714471817017
9600,62.710943937301636
9700,64.78900671005249
9800,65.80118107795715
9900,64.82852721214294
10000,63.85958957672119
10100,64.34567427635193
10200,64.91595673561096
10300,65.00283074378967
10400,67.99005031585693
10500,69.54962372779846
10600,69.96945118904114
10700,70.75718545913696
10800,70.02209234237671
10900,71.87789559364319
11000,71.48920202255249
11100,70.82370185852051
11200,69.43993592262268
11300,72.30850219726562
11400,76.60671043395996
11500,77.83427119255066
11600,77.20485353469849
11700,78.406498670578
11800,76.96367454528809
11900,76.59257340431213
12000,75.28159093856812
12100,78.13355493545532
12200,78.70042324066162
12300,81.06508898735046
12400,89.62832641601562
12500,85.2568793296814
12600,81.9390983581543
12700,83.96637725830078
12800,80.59688138961792
12900,83.25639796257019
13000,84.09879899024963
13100,83.16073966026306
13200,83.85729885101318
13300,89.33565664291382
13400,90.0724847316742
13500,90.57702350616455
13600,87.18533086776733
13700,91.6041693687439
13800,89.76484441757202
13900,90.45458316802979
14000,89.93939781188965
14100,90.2304093837738
14200,95.76871538162231
14300,98.66776204109192
14400,93.4269609451294
14500,98.75149989128113
14600,95.50791215896606
14700,94.8429365158081
14800,94.81115007400513
14900,96.12118911743164
15000,94.7320408821106
15100,96.38533091545105
15200,92.68232560157776
15300,103.83391213417053
15400,103.94248127937317
15500,103.3144063949585
15600,103.24947834014893
15700,103.33870935440063
15800,101.44054007530212
15900,102.34212565422058
16000,98.94599461555481
16100,101.70331597328186
16200,101.55870771408081
16300,110.4169385433197
16400,110.63616371154785
16500,110.51899194717407
16600,108.17838835716248
16700,108.19607663154602
16800,104.66415500640869
16900,108.96107363700867
17000,108.15263247489929
17100,108.72772169113159
17200,114.5572202205658
17300,115.30964136123657
17400,113.43816995620728
17500,113.68105459213257
100,3.610283136367798
200,3.525312662124634
300,4.433525085449219
400,4.799726486206055
500,5.480372428894043
600,6.121007680892944
700,6.861697435379028
800,7.280185222625732
900,8.237200498580933
1000,8.907113790512085
1100,9.649270057678223
1200,10.68636441230774
1300,11.024238586425781
1400,11.68435001373291
1500,12.27812671661377
1600,12.576460599899292
