cpu_info,memory_info,size,elapsed_time,CPU_clock_frequency
8,8,100,0.0,2.8
8,8,200,0.0010237693786621,2.8
8,8,300,0.0058977603912353,2.8
8,8,400,0.003974437713623,2.8
8,8,500,0.0078487396240234,2.8
8,8,600,0.0127148628234863,2.8
8,8,700,0.0127451419830322,2.8
8,8,800,0.0243942737579345,2.8
8,8,900,0.022423505783081,2.8
8,8,1000,0.0332214832305908,2.8
8,8,1100,0.0342011451721191,2.8
8,8,1200,0.0468957424163818,2.8
8,8,1300,0.0595664978027343,2.8
8,8,1400,0.0732605457305908,2.8
8,8,1500,0.0752108097076416,2.8
8,8,1600,0.088869571685791,2.8
8,8,1700,0.0908267498016357,2.8
8,8,1800,0.0928068161010742,2.8
8,8,1900,0.0976336002349853,2.8
8,8,2000,0.1059703826904296,2.8
8,8,2100,0.1151928901672363,2.8
8,8,2200,0.1327683925628662,2.8
8,8,2300,0.1308100223541259,2.8
8,8,2400,0.152320384979248,2.8
8,8,2500,0.1665146350860595,2.8
8,8,2600,0.2031168937683105,2.8
8,8,2700,0.232370376586914,2.8
8,8,2800,0.2460501194000244,2.8
8,8,2900,0.2802906036376953,2.8
8,8,3000,0.2934143543243408,2.8
8,8,3100,0.340801477432251,2.8
8,8,3200,0.3407983779907226,2.8
8,8,3300,0.3856894969940185,2.8
8,8,3400,0.4159865379333496,2.8
8,8,3500,0.4784350395202636,2.8
8,8,3600,0.4765188694000244,2.8
8,8,3700,0.5331177711486816,2.8
8,8,3800,0.556567907333374,2.8
8,8,3900,0.5956106185913086,2.8
8,8,4000,0.6239547729492188,2.8
8,8,4100,0.6816093921661377,2.8
8,8,4200,0.7528817653656006,2.8
8,8,4300,0.7958242893218994,2.8
8,8,4400,0.8475611209869385,2.8
8,8,4500,0.9618663787841796,2.8
8,8,4600,1.0472829341888428,2.8
8,8,4700,1.0375220775604248,2.8
8,8,4800,1.0487513542175293,2.8
8,8,4900,1.2044930458068848,2.8
8,8,5000,1.160038709640503,2.8
8,8,5100,1.3602120876312256,2.8
8,8,5200,1.3113861083984375,2.8
8,8,5300,1.5433106422424316,2.8
8,8,5400,1.4051992893218994,2.8
8,8,5500,1.6190104484558103,2.8
8,8,5600,1.6600065231323242,2.8
8,8,5700,1.849989414215088,2.8
8,8,5800,1.7674264907836914,2.8
8,8,5900,1.995433330535889,2.8
8,8,6000,1.9998383522033687,2.8
8,8,6100,2.1668550968170166,2.8
8,8,6200,2.178014039993286,2.8
8,8,6300,2.42995023727417,2.8
8,8,6400,2.3191347122192383,2.8
8,8,6500,2.558382272720337,2.8
8,8,6600,2.590107679367065,2.8
8,8,6700,2.861597776412964,2.8
8,8,6800,2.7683265209198,2.8
8,8,6900,3.102259874343872,2.8
8,8,7000,3.0768871307373047,2.8
8,8,7100,3.3552322387695312,2.8
8,8,7200,3.296612024307251,2.8
8,8,7300,3.6311092376708975,2.8
8,8,7400,3.600282430648804,2.8
8,8,7500,3.950818777084351,2.8
8,8,7600,3.978675127029419,2.8
8,8,7700,4.306321620941162,2.8
8,8,7800,4.247211456298828,2.8
8,8,7900,4.602169990539551,2.8
8,8,8000,4.647094011306763,2.8
8,8,8100,5.123632907867432,2.8
8,8,8200,5.010805606842041,2.8
8,8,8300,5.426372766494751,2.8
8,8,8400,5.311092615127564,2.8
8,8,8500,5.743679046630859,2.8
8,8,8600,5.730983257293701,2.8
8,8,8700,6.133778810501099,2.8
8,8,8800,6.114761114120483,2.8
8,8,8900,6.5048604011535645,2.8
8,8,9000,6.485783100128174,2.8
8,8,9100,6.9750378131866455,2.8
8,8,9200,6.95447850227356,2.8
8,8,9300,7.153692960739136,2.8
8,8,9400,7.478398561477661,2.8
8,8,9500,7.987623691558838,2.8
8,8,9600,7.879226684570312,2.8
8,8,9700,8.009632349014282,2.8
8,8,9800,8.408498764038086,2.8
8,8,9900,8.694582462310791,2.8
8,8,100,0.0,2.8
8,8,200,0.0,2.8
8,8,300,0.0014667510986328,2.8
8,8,400,0.0020372867584228,2.8
8,8,500,0.004413366317749,2.8
8,8,600,0.0058858394622802,2.8
8,8,700,0.0185687541961669,2.8
8,8,800,0.0195236206054687,2.8
8,8,900,0.0146892070770263,2.8
8,8,1000,0.0185999870300292,2.8
8,8,1100,0.0332129001617431,2.8
8,8,1200,0.0527341365814209,2.8
8,8,1300,0.0576176643371582,2.8
8,8,1400,0.0634748935699462,2.8
8,8,1500,0.0751974582672119,2.8
8,8,1600,0.072263479232788,2.8
8,8,1700,0.0922853946685791,2.8
8,8,1800,0.0966827869415283,2.8
8,8,1900,0.1152348518371582,2.8
