number_of_data,averaged_real_execution_time
100,3.726623773574829
200,3.7215119600296016
300,4.4463478326797485
400,4.8513407707214355
500,5.704824209213257
600,6.254139542579651
700,6.752879738807678
800,6.957478284835815
900,7.927920699119568
1000,8.719610691070557
1100,9.730552196502686
1200,10.731722235679626
1300,10.89796245098114
1400,11.272974491119385
1500,11.841657519340515
1600,12.075116515159607
1700,13.316888332366943
1800,14.073698878288269
1900,14.909329414367676
2000,15.156236171722412
2100,15.601534962654114
2200,16.147531867027283
2300,17.94711482524872
2400,17.39653706550598
2500,18.74386692047119
2600,19.28655457496643
2700,19.81878173351288
2800,20.420565128326416
2900,21.10580265522003
3000,21.459558248519897
3100,21.91902887821197
3200,21.803550720214844
3300,25.432512998580933
3400,26.390008807182312
3500,25.624902844429016
3600,26.19227111339569
3700,26.734978675842285
3800,26.943960785865784
3900,26.59314167499542
4000,25.981323957443237
4100,27.40117871761322
4200,28.044727087020874
4300,28.381112098693848
4400,30.541431546211243
4500,30.92301106452942
4600,31.03504514694214
4700,31.529914140701294
4800,31.02944326400757
4900,32.255762815475464
5000,33.28955948352814
5100,33.25379204750061
5200,33.8172367811203
5300,34.51151752471924
5400,36.91113770008087
5500,36.393173575401306
5600,35.94384980201721
5700,37.994986057281494
5800,38.26022124290466
5900,38.34779930114746
6000,38.70829999446869
6100,39.48434388637543
6200,39.92594385147095
6300,41.0125492811203
6400,41.78449368476868
6500,43.34107434749603
6600,43.3849778175354
6700,43.81245470046997
6800,44.12126433849335
6900,44.559961915016174
7000,46.25177776813507
7100,46.29843091964722
7200,44.86827731132507
7300,46.69782257080078
7400,49.394508361816406
7500,50.305115699768066
7600,50.73942804336548
7700,50.62421727180481
7800,50.73599529266357
7900,51.330713391304016
8000,49.945260643959045
8100,51.848769664764404
8200,52.69198262691498
8300,53.76376557350159
8400,56.455522656440735
8500,56.54878556728364
8600,56.85784208774567
8700,57.011428117752075
8800,55.471675634384155
8900,57.53550934791565
9000,58.019938588142395
9100,57.84555268287659
9200,58.65365493297577
9300,58.82973837852478
9400,63.246034264564514
9500,64.06903731822968
9600,62.20332717895508
9700,65.0986624956131
9800,65.6048926115036
9900,65.30181741714478
10000,64.54383659362793
10100,65.5858906507492
10200,65.9127550125122
10300,65.47616302967072
10400,68.14650893211365
10500,70.19993460178375
10600,69.89493656158447
10700,70.23678648471832
10800,70.36899900436401
10900,70.96191537380219
11000,71.1396279335022
11100,71.34715116024017
11200,68.98342049121857
11300,72.42377924919128
11400,76.80574667453766
11500,77.78476440906525
11600,76.67031693458557
11700,77.31219446659088
11800,77.07835793495178
11900,76.53436207771301
12000,74.64504873752594
12100,77.76363694667816
12200,78.35300266742706
12300,80.28247249126434
12400,86.0497978925705
12500,83.62106215953827
12600,82.26409530639648
12700,83.93466484546661
12800,80.44618964195251
12900,83.28273594379425
13000,84.11041533946991
13100,83.25367891788483
13200,84.20934975147247
13300,89.68017637729645
13400,89.43384957313538
13500,90.23737561702728
13600,86.86162889003754
13700,90.70846581459045
13800,90.62684547901154
13900,90.22220718860626
14000,90.0763247013092
14100,90.27177095413208
14200,93.48290681838989
14300,97.77488994598389
14400,92.95333969593048
14500,97.63546645641325
14600,96.34485721588135
14700,95.4734845161438
14800,95.74122083187103
14900,96.19943714141846
15000,96.39714348316193
15100,96.4655088186264
15200,93.85326266288757
15300,103.98635303974152
15400,104.67929458618164
15500,104.40285336971283
15600,104.26908135414124
15700,103.89487397670746
15800,102.62981927394867
15900,103.43393623828888
16000,99.4641182422638
16100,102.77518045902252
16200,102.00622963905334
16300,110.76042926311493
16400,110.64754605293274
16500,111.33766567707062
16600,110.18000829219818
16700,110.2491866350174
16800,105.943115234375
16900,110.05594861507416
17000,108.9895350933075
17100,108.87698066234589
17200,117.41459846496582
17300,117.83439433574677
17400,117.03826010227203
17500,115.9606956243515
